id;proposed_repair_and_maintain_id;serial;prod_id;prod_name;quantity;unit;repository_id
1;77620;solution artificial intelligence;20104;Fantastic Granite Pizza Cotton Auto Loan Account;90124;productize;26351
2;74086;Berkshire back-end Brand;54052;Sleek Steel Pants overriding Berkshire;80736;Buckinghamshire B2B;49106
3;80352;array metrics;5269;proactive;55356;New Zealand;50459
4;6557;implementation iterate;96651;hacking black Avon;84417;Avon Island;83826
5;88750;Mission Industrial copying;17003;capacitor back-end Associate;29157;bandwidth;53849
6;11356;green calculate Pula;5643;Borders Synergized maximize;45223;B2C Som;13889
7;47389;compressing Ergonomic Licensed;66782;Peru;57556;Engineer Tanzanian Shilling;9984
8;17030;European Unit of Account 17(E.U.A.-17) bypass;53053;synthesize;7622;Metal Sleek Concrete Ball Shoes;68335
9;56998;Lithuanian Litas Surinam Dollar;5213;networks static;35981;Practical Frozen Fish;13134
10;26054;transmitting Buckinghamshire;86575;system engine Avon;37752;Forks;61261
